"Enable Product Label","Activer l'étiquette produit"
"Name","Nom"
"Identifier","Identifiant"
"Attribute","Attribut"
"Attributes","Attributs"
"Option","Option"
"Logo Image","Logo Image"
"Image location in listing mode","Emplacement de l'étiquette en mode liste"
"Location of the image on product view","Emplacement de l'étiquette sur la fiche produit"
"Display on","Afficher sur"
"Manage Product labels","Gestion des étiquettes produit"
"Add New Label","Ajouter une étiquette produit"
"New product label","Nouvelle étiquette produit"
"Edit Product Label","Editer l'étiquette produit"
"Change status","Changer le statut d'étiquette produit"
"Save Product Label","Sauvegarder l'étiquette produit"
"Delete Product Label","Supprimer étiquette(s) produit"
"This product label does not exist.","L'étiquette produit n'existe pas."
"The product label ""%1"" has been deleted.","Suppression de l'étiquette produit avec succès"
"Edit product label #%1","Editer l'étiquette produit #%1"
"Please select product labels.","Veuillez selectionner les étiquettes des produits."
"Total of %1 ProductLabel(s) were deleted.","Total de %1 des étiquettes produits supprimés."
"The product label has been saved.","L'étiquette du produit a été enregistrée."
"A total of %1 product label(s) have been deleted.","Suppression de %1 étiquette(s) produit avec succès."
"Alternative text for this label","Texte alternatif du label"
"All Store Views","Toutes les vues magasin"
"Store View","Vue magasin"